Model,Accuracy,Precision,Recall,F1,AUC-ROC,Train Time
LightGBM,0.9392361111111112,0.9693486590038314,0.7413919413919414,0.8401826484018264,0.9447948283192702,0.7089481353759766
XGBoost,0.938604797979798,0.9665391969407265,0.7406593406593407,0.8386561592700125,0.9392869853944085,0.6379776000976562
CatBoost,0.9379734848484849,0.9655172413793104,0.7384615384615385,0.8368617683686177,0.9399582781598473,18.623594284057617
Random Forest,0.9341856060606061,0.9324817518248175,0.7487179487179487,0.8305566842746851,0.9380426989358794,1.378770351409912
SVM RBF,0.8958333333333334,0.7640449438202247,0.7472527472527473,0.7555555555555555,0.9085380923642843,312.24696803092957
Decision Tree,0.8735795454545454,0.676913425345044,0.7904761904761904,0.729300439337614,0.8434376526712072,0.3809027671813965
Logistic Regression,0.8011363636363636,0.5266362252663622,0.7604395604395604,0.6223021582733813,0.8659794574097532,0.32572245597839355
